epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7331130504608154,0.8126780390739441,0.5313321948051453,0.4982638955116272,0.5837523341178894,0.852031946182251
1,0.7637665271759033,0.8466243147850037,0.48444926738739014,0.5017361044883728,0.5572675466537476,1.3794291019439697
2,0.7712922096252441,0.8550564646720886,0.474323034286499,0.5,0.5633228421211243,1.0044379234313965
3,0.7743459343910217,0.8582252860069275,0.46925443410873413,0.609375,0.6601939797401428,0.7012477517127991
4,0.784140944480896,0.8684998154640198,0.4527420699596405,0.6736111044883728,0.7666527032852173,0.5817078948020935
5,0.7854258418083191,0.8670187592506409,0.4553229510784149,0.7135416865348816,0.8124969601631165,0.5258022546768188
6,0.7911159992218018,0.8747121691703796,0.4433532953262329,0.6701388955116272,0.7610767483711243,0.6858528852462769
7,0.789463996887207,0.8748528361320496,0.4413415789604187,0.7743055820465088,0.8644341230392456,0.46272966265678406
8,0.7931351065635681,0.8788054585456848,0.4365055561065674,0.6944444179534912,0.7964906692504883,0.6037864089012146
9,0.7997429966926575,0.8862439393997192,0.42217838764190674,0.6649305820465088,0.76732337474823,0.7097001671791077
10,0.7925844192504883,0.882505476474762,0.42890170216560364,0.71875,0.8003292083740234,0.6132087707519531
11,0.8045154213905334,0.8876882791519165,0.4196082651615143,0.78125,0.856840193271637,0.4639238715171814
12,0.8039647340774536,0.8864763379096985,0.42166608572006226,0.7864583134651184,0.8690381646156311,0.45530155301094055
13,0.8087371587753296,0.8903493881225586,0.4157332479953766,0.7534722089767456,0.8288513422012329,0.5130342245101929
14,0.8037812113761902,0.8922796845436096,0.41113945841789246,0.8055555820465088,0.8814109563827515,0.42950916290283203
15,0.810756266117096,0.8938426971435547,0.40871283411979675,0.7430555820465088,0.807386577129364,0.5541784763336182
16,0.8151615262031555,0.896185040473938,0.4054173231124878,0.7881944179534912,0.8687924146652222,0.4578826129436493
17,0.821402370929718,0.9002348184585571,0.39681872725486755,0.6944444179534912,0.8070821166038513,0.5864651203155518
18,0.8124082088470459,0.8983917832374573,0.40060123801231384,0.7725694179534912,0.8704850077629089,0.45986664295196533
19,0.8109397888183594,0.8966956734657288,0.40481916069984436,0.8020833134651184,0.8747467994689941,0.4430173337459564
20,0.8146108388900757,0.9001792669296265,0.39707472920417786,0.6961805820465088,0.7981967329978943,0.6266452074050903
21,0.8146108388900757,0.9020030498504639,0.39263489842414856,0.6927083134651184,0.773940920829773,0.6157876253128052
22,0.8226872086524963,0.9055086970329285,0.38682159781455994,0.7222222089767456,0.8182297945022583,0.5615304708480835
23,0.81901615858078,0.9014278650283813,0.39534950256347656,0.7916666865348816,0.8741244077682495,0.4501340091228485
24,0.8258076310157776,0.9110519886016846,0.3760658800601959,0.796875,0.8810191750526428,0.4409564435482025
